ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20080324X00374,SEA08LA067,ACC,2008-01-25 00:00:00,Fr,2000,UTC,Hollister,CA,USA,95023,2008,1,,,036540N,0121252W,,Hollister Municipal Airport,CVH,ONAP,0.0,,230,,WFAC,1953,210,SNS,85,15,UTC,DAYL,SCAT,3300,4900,BKN,,,10.0,55,48,110,U,30,F,F,37,29.790000915527344,,,,NONE,,,,0,0,2,0,2,N,,,,,,2020-09-25 18:06:16,,VMC,,36.900001,-121.417221,avall.mdb,2026-04-14 02:17:37.493608
20080210X00161,NYC08LA086,ACC,2008-01-25 00:00:00,Fr,1610,UTC,York,SC,USA,29745,2008,1,,,035155N,0811510W,MEAS,,,OFAP,0.0,,,,WFAC,1654,90,UZA,666,10,UTC,DAYL,CLER,0,0,NONE,,,10.0,30,3,100,U,3,F,T,0,30.510000228881836,,,,MINR,,,,0,2,0,0,2,N,,,,,,2020-09-25 18:07:03,,VMC,,35.031944,-81.252777,avall.mdb,2026-04-14 02:17:37.493608
20080214X00188,MIA08CA047,ACC,2008-01-28 00:00:00,Mo,1615,UTC,Dawson,GA,USA,39842,2008,1,,,314435N,0084259W,,Dawson Municipal Airport,16J,ONAP,0.0,,333,,WFAC,1053,137,KABY,197,17,,DAYL,CLER,0,0,NONE,,,10.0,52,36,80,U,6,F,T,0,30.280000686645508,,,,NONE,,,,0,0,1,0,1,N,,,,,,2020-09-25 18:06:16,,VMC,,31.743055,-84.419166,avall.mdb,2026-04-14 02:17:37.493608
20080210X00160,NYC08LA087,ACC,2008-01-27 00:00:00,Su,2230,UTC,McCullough,AL,USA,36502,2008,1,,,031100N,0873130W,,,NONE,OFAP,0.0,,,,WFAC,2253,70,GZH,259,20,UTC,DAYL,CLER,0,0,NONE,,,10.0,55,34,330,U,5,F,T,0,30.25,,,,FATL,,,,1,0,0,0,1,N,,,,,,2020-09-25 18:07:03,,VMC,,31.166666,-87.525001,avall.mdb,2026-04-14 02:17:37.493608
20080514X00667,DCA08IA033,INC,2008-01-25 00:00:00,Fr,1445,UTC,Newark,NJ,USA,7114,2008,1,,,404123N,0741028W,MEAS,Newark Liberty Intl,EWR,,0.0,238,17,,WFAC,,0,,,0,,DAYL,FEW,4700,5500,OVC,,,10.0,27,12,310,U,14,F,F,16,30.040000915527344,,,,NONE,,,,0,0,107,0,107,N,,,,,,2024-07-11 14:55:36,andj,VMC,,40.689723,-74.174446,avall.mdb,2026-04-14 02:17:37.493608
20080207X00144,DEN08WA052,ACC,2008-01-23 00:00:00,We,1030,UTC,Cherbourg,,FR,0,2008,1,,,049448N,0001316W,,,,,0.0,,,,WFAC,1130,0,LFRC,,0,,,,0,2800,OVC,,,6.199999809265137,54,46,220,U,8,F,F,0,30.360000610351562,,,,FATL,,,,2,0,0,1,3,O,,,,,,2025-11-21 15:35:16,dobn,VMC,,49.735553,-1.518333,avall.mdb,2026-04-14 02:17:37.493608
20080129X00115,DEN08LA053,ACC,2008-01-26 00:00:00,Sa,1930,UTC,Valley Center,KS,USA,67147,2008,1,,,374957N,0972212W,,Harrison/Redbird Airfield,,OFAP,1.0,,1379,,WFAC,1950,0,AAO,,0,UTC,DAYL,CLER,0,0,NONE,,,10.0,55,16,310,U,10,F,T,0,30.1200008392334,,,,SERS,,,,0,0,0,1,1,N,,,,,,2020-09-25 18:06:16,,VMC,,37.8325,-97.370002,avall.mdb,2026-04-14 02:17:37.493608
20080129X00116,DEN08LA054,ACC,2008-01-24 00:00:00,Th,2320,UTC,Rock Springs,WY,USA,82901,2008,1,,,415649N,0108586W,,,,OFAP,0.0,,,,WFAC,2354,360,RKS,,30,UTC,DAYL,CLER,0,0,NONE,,,10.0,10,1,0,U,,F,T,0,29.799999237060547,,,,NONE,,,,0,0,2,0,2,N,,,,,,2020-09-25 18:06:16,,VMC,,41.946945,-108.96833,avall.mdb,2026-04-14 02:17:37.493608
20080205X00136,DFW08LA058,ACC,2008-01-28 00:00:00,Mo,1315,UTC,Wiggins,MS,USA,39577,2008,1,,,304831N,0891129W,,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,CLER,0,0,UNK,,,10.0,52,0,210,U,6,F,T,0,30.170000076293945,,,,NONE,,,,0,0,1,0,1,N,,,,,,2020-09-25 18:04:02,,VMC,,30.80861,-89.19139,avall.mdb,2026-04-14 02:17:37.493608
20080317X00317,DFW08CA059,ACC,2008-01-27 00:00:00,Su,1800,UTC,Sheffield,TX,USA,79781,2008,1,,,030260N,0101490W,,Canon Ranch Airport,9TX9,OFAP,22.0,,2380,,WFAC,1153,108,KFST,3011,64,,DAYL,CLER,0,0,NONE,,,10.0,72,45,160,U,10,F,F,17,30.200000762939453,,,,SERS,,,,0,0,0,1,1,N,,,,,,2020-09-25 18:05:31,,VMC,,30.433332,-101.816665,avall.mdb,2026-04-14 02:17:37.493608
