ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude,_source_file,_ingested_at
20001206X01418,ANC94LA067,ACC,1994-06-08 00:00:00,We,2215,UTC,KASSAN BAY,AK,USA,99901,1994,6,,,553633N,1313450W,MEAS,,,OFAP,0.0,,,,,,0,,,0,,DAYL,SCAT,3000,0,UNK,,,20.0,55,0,135,U,10,F,F,20,0.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-12-15 20:41:01,,VMC,,55.609283,-131.580657,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01419,ANC94LA068,ACC,1994-06-06 00:00:00,Mo,2200,UTC,BETHEL,AK,USA,99559,1994,6,,,604834N,0161511W,MEAS,BETHEL,BET,ONAP,0.0,,123,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,50.0,55,0,260,U,11,F,T,0,0.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:27:02,,VMC,,60.809307,-161.85025,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01420,ANC94LA069,ACC,1994-06-13 00:00:00,Mo,2345,UTC,ANCHORAGE,AK,USA,99501,1994,6,,,611310N,1495058W,MEAS,MERRILL FIELD,MRI,ONAP,0.0,,137,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,100.0,61,0,270,U,4,F,T,0,29.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-09-20 15:27:02,,VMC,,61.219459,-149.849456,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01421,ANC94LA071,ACC,1994-06-25 00:00:00,Sa,2030,UTC,FAIRBANKS,AK,USA,99705,1994,6,,,644610N,1471951W,MEAS,,,ONAP,0.0,,1600,,,,0,,,0,,DAYL,CLER,0,0,NONE,,,60.0,64,0,240,U,15,F,F,25,0.0,,,,NONE,0,0,0,0,0,2,0,2,N,,,,,,2021-12-15 20:41:03,,VMC,,64.769577,-147.330825,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01422,ANC94LA072,ACC,1994-06-29 00:00:00,We,0,UTC,SHELDON POINT,AK,USA,99666,1994,6,,,622622N,0165859W,MEAS,SHELDON POINT,SXP,ONAP,0.0,,0,,,,0,,,0,,DAYL,UNK,0,1500,BKN,,,10.0,50,0,230,U,15,F,F,0,0.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-09-20 15:27:03,,VMC,,62.439319,-165.149826,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01423,ANC94LA073,ACC,1994-07-01 00:00:00,Fr,55,UTC,ANCHORAGE,AK,USA,99502,1994,7,,,061938N,1495924W,MEAS,LAKE HOOD,Z41,ONAP,0.0,,73,,PILO,,0,,,0,,DAYL,CLER,0,0,NONE,,,90.0,72,43,230,U,7,F,T,0,30.0,,,,NONE,0,0,0,0,0,3,0,3,N,,,,,,2021-09-20 15:27:03,,VMC,,61.160686,-149.990081,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01637,ANC94LA076,ACC,1994-07-07 00:00:00,Th,2115,UTC,NORTHWAY,AK,USA,99764,1994,7,,,625958N,1414125W,MEAS,NORTHWAY,ORT,ONAP,0.0,,1716,,WFAC,1554,0,ORT,1716,0,UTC,DAYL,UNK,5000,5000,BKN,,,35.0,57,37,290,U,9,F,F,15,29.0,,,,NONE,0,0,0,0,0,3,0,3,N,,,,,,2021-09-20 15:27:04,,VMC,,62.999408,-141.690277,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01638,ANC94LA077,ACC,1994-07-08 00:00:00,Fr,330,UTC,FT RICHARDSON,AK,USA,99505,1994,7,,,611533N,0149363W,MEAS,,,OFAP,0.0,,,,WFAC,2355,180,EDF,213,5,UTC,DAYL,SCAT,5000,0,NONE,,,50.0,66,41,0,U,,F,F,0,29.0,,,,NONE,0,0,0,0,0,1,0,1,N,,,,,,2021-12-15 20:41:04,,VMC,,61.259201,-149.600891,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01639,ANC94LA078,ACC,1994-07-09 00:00:00,Sa,115,UTC,KENAI,AK,USA,99611,1994,7,,,603933N,0150540W,MEAS,ARNESS LAKE,6Z1,OFAP,0.0,210,125,,WFAC,,0,,,0,,DAYL,CLER,0,0,NONE,,,50.0,64,0,180,U,12,F,T,0,0.0,,,,SERS,0,0,0,0,0,0,1,1,N,,,,,,2021-09-20 15:27:04,,VMC,,60.659107,-150.900115,Pre2008.mdb,2026-04-14 02:18:25.664087
20001206X01640,ANC94LA079,ACC,1994-07-09 00:00:00,Sa,2015,UTC,NONDALTON,AK,USA,99640,1994,7,,,595733N,1545213W,MEAS,,,OFAP,0.0,,,,PILO,,0,,,0,,DAYL,UNK,2500,2500,OVC,,,25.0,45,46,0,Y,25,T,F,35,0.0,,,,NONE,0,0,0,0,0,6,0,6,N,,,,,,2021-09-20 15:27:05,,VMC,,59.95914,-154.870208,Pre2008.mdb,2026-04-14 02:18:25.664087
