ev_id,ev_type,ev_date,event_year,event_month,ev_city,ev_state,ev_country,ev_highest_injury,light_cond,wx_cond_basic,vis_sm,wind_vel_kts,fatalities,serious_injuries,minor_injuries,uninjured,dec_latitude,dec_longitude,injury_score,weather_category,source_era
20080421X00524,ACC,2008-04-15 00:00:00,2008,4,Chickaloon,AK,USA,FATL,DAYL,VMC,2.0,3,4,1,0,0,61.838333,-147.376937,4,VMC,avall
20080425X00550,ACC,2008-04-18 00:00:00,2008,4,Sonora,CA,USA,FATL,DAYL,VMC,10.0,4,2,0,0,0,38.056388,-119.900833,4,VMC,avall
20080425X00552,ACC,2008-04-18 00:00:00,2008,4,Logan,UT,USA,NONE,DAYL,VMC,10.0,15,0,0,0,1,41.79111,-111.851669,1,VMC,avall
20080422X00526,ACC,2008-04-15 00:00:00,2008,4,Goma,,CF,FATL,,,,,3,40,0,51,,,4,UNKNOWN,avall
20080619X00883,ACC,2008-04-19 00:00:00,2008,4,Dallas,TX,USA,NONE,DAYL,VMC,10.0,5,0,0,0,1,32.822498,-96.355552,1,VMC,avall
20080430X00569,ACC,2008-04-20 00:00:00,2008,4,De Queen,AR,USA,NONE,DAYL,VMC,10.0,8,0,0,0,2,34.041389,-94.392776,1,VMC,avall
20080430X00571,ACC,2008-04-20 00:00:00,2008,4,Paragould,AR,USA,SERS,DAYL,VMC,,,0,1,0,0,36.057777,-90.504722,3,VMC,avall
20080428X00558,ACC,2008-04-19 00:00:00,2008,4,Berclair,TX,USA,FATL,DAYL,VMC,10.0,13,1,0,0,0,28.608333,-97.609443,4,VMC,avall
20080502X00585,ACC,2008-04-19 00:00:00,2008,4,Groveton,TX,USA,SERS,DAYL,VMC,10.0,11,0,1,0,0,30.934999,-95.011665,3,VMC,avall
20080626X00922,ACC,2008-04-19 00:00:00,2008,4,La Porte,TX,USA,MINR,DAYL,VMC,10.0,,0,0,2,0,29.67,-95.065002,2,VMC,avall
20080512X00650,ACC,2008-04-13 00:00:00,2008,4,San Quintin,,MX,MINR,,VMC,20.0,,0,0,4,0,30.411388,-115.864997,2,VMC,avall
20080508X00632,ACC,2008-04-17 00:00:00,2008,4,Grass Valley,CA,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,39.223888,-121.003051,1,VMC,avall
20080425X00554,ACC,2008-04-19 00:00:00,2008,4,Carlsbad,CA,USA,NONE,DAYL,VMC,8.0,8,0,0,0,4,33.128055,-117.279998,1,VMC,avall
20080425X00555,ACC,2008-04-20 00:00:00,2008,4,Groveland,CA,USA,SERS,DAYL,VMC,10.0,13,0,1,0,0,37.861667,-120.17778,3,VMC,avall
20080529X00754,ACC,2008-04-19 00:00:00,2008,4,Casper,WY,USA,NONE,DAYL,VMC,10.0,16,0,0,0,1,42.907775,-106.464164,1,VMC,avall
20120119X53921,ACC,2012-01-18 00:00:00,2012,1,"Powys, Wales, United Kingdom",,UK,,,,,,0,0,0,0,,,0,UNKNOWN,avall
20080611X00830,ACC,2008-04-20 00:00:00,2008,4,New Smyrna Beach,FL,USA,NONE,DAYL,VMC,10.0,6,0,0,0,2,29.055555,-80.94889,1,VMC,avall
20080523X00714,ACC,2008-04-21 00:00:00,2008,4,Paris,TN,USA,FATL,DAYL,VMC,7.0,5,1,0,0,0,36.305557,-88.453887,4,VMC,avall
20080423X00533,ACC,2008-04-20 00:00:00,2008,4,Corning,AR,USA,SERS,DAYL,VMC,10.0,11,0,1,0,0,36.410598,-90.579902,3,VMC,avall
20080516X00687,ACC,2008-04-20 00:00:00,2008,4,Santa Fe,NM,USA,NONE,DAYL,VMC,10.0,16,0,0,0,1,35.616943,-106.089447,1,VMC,avall
20080422X00527,ACC,2008-01-11 00:00:00,2008,1,Puebla,,MX,FATL,,VMC,,,8,0,0,0,,,4,VMC,avall
20080519X00697,ACC,2008-04-15 00:00:00,2008,4,Tyndall AFB,FL,USA,NONE,DAYL,VMC,,,0,0,0,1,30.069999,-85.576385,1,VMC,avall
20080521X00708,ACC,2008-04-20 00:00:00,2008,4,Daytona Beach,FL,USA,NONE,DAYL,VMC,10.0,5,0,0,0,1,29.179721,-81.058052,1,VMC,avall
20080502X00586,ACC,2008-04-19 00:00:00,2008,4,S. Lake Tahoe,CA,USA,NONE,DAYL,VMC,10.0,19,0,0,0,4,38.89389,-119.995277,1,VMC,avall
20080502X00582,ACC,2008-04-22 00:00:00,2008,4,Hemphill,TX,USA,FATL,DAYL,VMC,10.0,5,3,0,0,0,31.299999,-93.678337,4,VMC,avall
20080425X00549,ACC,2008-03-20 00:00:00,2008,3,Cincinnati,OH,USA,NONE,DAYL,VMC,10.0,13,0,0,0,1,39.246665,-84.388885,1,VMC,avall
20080425X00553,ACC,2008-03-21 00:00:00,2008,3,Franklin Furnac,OH,USA,NONE,DAYL,VMC,,,0,0,0,2,38.594165,-82.760276,1,VMC,avall
20080425X00551,ACC,2008-03-25 00:00:00,2008,3,North Canton,OH,USA,NONE,DAYL,VMC,10.0,,0,0,0,2,40.926387,-81.447776,1,VMC,avall
20080518X00693,ACC,2008-04-19 00:00:00,2008,4,Ellington,CT,USA,NONE,DAYL,VMC,10.0,4,0,0,0,1,41.925277,-72.456947,1,VMC,avall
20081003X63355,INC,2008-04-20 00:00:00,2008,4,Newark,NJ,USA,NONE,,,,,0,0,0,5,40.740837,-74.170684,1,UNKNOWN,avall
20080508X00634,ACC,2008-04-18 00:00:00,2008,4,Plant City,FL,USA,NONE,DAYL,VMC,10.0,4,0,0,0,1,28.0,-82.164169,1,VMC,avall
20080428X00559,ACC,2008-04-23 00:00:00,2008,4,Mesa,AZ,USA,FATL,DAYL,VMC,30.0,8,3,0,0,0,33.448055,-111.73722,4,VMC,avall
20080521X00706,ACC,2008-04-23 00:00:00,2008,4,Ellijay,GA,USA,SERS,DAYL,VMC,10.0,4,0,1,1,0,34.628055,-84.52639,3,VMC,avall
20080610X00817,ACC,2008-04-19 00:00:00,2008,4,Kingsbury,TX,USA,MINR,DAYL,VMC,,9,0,0,1,1,29.634721,-97.819442,2,VMC,avall
20080506X00620,ACC,2008-04-23 00:00:00,2008,4,Santa Teresa,NM,USA,NONE,DAYL,VMC,10.0,14,0,0,0,1,31.876388,-106.691947,1,VMC,avall
20080516X00686,ACC,2008-04-23 00:00:00,2008,4,Killeen,TX,USA,NONE,DAYL,VMC,10.0,18,0,0,0,2,31.085832,-97.686386,1,VMC,avall
20080424X00536,INC,2008-04-17 00:00:00,2008,4,Pontiac,MI,USA,NONE,DUSK,VMC,10.0,6,0,0,0,2,42.665554,-83.419441,1,VMC,avall
20080424X00537,ACC,2008-04-21 00:00:00,2008,4,Fairfax,IA,USA,SERS,NBRT,VMC,9.0,8,0,1,1,0,41.945278,-91.807777,3,VMC,avall
20080505X00588,ACC,2008-04-19 00:00:00,2008,4,Dansville,NY,USA,NONE,DAYL,VMC,10.0,15,0,0,0,2,42.570835,-77.712776,1,VMC,avall
20080428X00560,ACC,2008-04-24 00:00:00,2008,4,Blanding,UT,USA,NONE,DAYL,VMC,10.0,4,0,0,0,2,37.587223,-109.485275,1,VMC,avall
20080528X00737,ACC,2008-04-22 00:00:00,2008,4,Chapel Hill,NC,USA,NONE,DAYL,VMC,10.0,12,0,0,0,4,35.935001,-79.065834,1,VMC,avall
20080625X00908,ACC,2008-04-24 00:00:00,2008,4,Anchorage,AK,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,61.2,-149.833328,1,VMC,avall
20080508X00629,ACC,2008-04-24 00:00:00,2008,4,Sterling,CO,USA,NONE,DAYL,VMC,10.0,5,0,0,0,3,40.609165,-103.258888,1,VMC,avall
20080507X00625,ACC,2008-04-24 00:00:00,2008,4,Bluff,UT,USA,MINR,DAYL,VMC,10.0,5,0,0,1,1,37.221111,-110.546386,2,VMC,avall
20080520X00699,ACC,2008-04-25 00:00:00,2008,4,Carlsbad,NM,USA,NONE,DAYL,VMC,10.0,23,0,0,0,1,32.592498,-104.422225,1,VMC,avall
20080513X00659,ACC,2008-04-27 00:00:00,2008,4,Midlothian,VA,USA,FATL,DAYL,IMC,10.0,4,2,0,0,0,37.444442,-77.598335,4,IMC,avall
20080429X00561,ACC,2008-04-19 00:00:00,2008,4,Mount Vernon,MO,USA,FATL,DAYL,VMC,10.0,10,2,2,0,3,37.069168,-93.885833,4,VMC,avall
20080429X00562,ACC,2008-04-17 00:00:00,2008,4,Reserve,NM,USA,SERS,DAYL,VMC,10.0,11,0,2,1,0,33.701389,-108.860275,3,VMC,avall
20080520X00700,ACC,2008-04-26 00:00:00,2008,4,Bend,OR,USA,NONE,DAYL,VMC,10.0,5,0,0,0,4,44.093797,-121.20147,1,VMC,avall
20080529X00753,ACC,2008-04-27 00:00:00,2008,4,Waitsburg,WA,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,46.291667,-118.083335,1,VMC,avall
20080505X00589,ACC,2008-04-26 00:00:00,2008,4,Galveston,TX,USA,NONE,DAYL,VMC,10.0,4,0,0,0,1,29.270051,-94.855158,1,VMC,avall
20080508X00627,ACC,2008-04-27 00:00:00,2008,4,Lincoln,NE,USA,NONE,DAYL,VMC,,,0,0,0,1,40.850555,-96.755554,1,VMC,avall
20080613X00850,ACC,2008-04-12 00:00:00,2008,4,Potsdam,NY,USA,NONE,DAYL,IMC,2.0,,0,0,0,1,44.676666,-74.948333,1,IMC,avall
20080514X00666,INC,2008-04-13 00:00:00,2008,4,Erie,CO,USA,NONE,DAYL,VMC,,,0,0,0,2,40.009998,-105.047775,1,VMC,avall
20080505X00593,ACC,2008-04-25 00:00:00,2008,4,Ciudad Real,,SP,FATL,,,,,2,0,0,0,,,4,UNKNOWN,avall
20080501X00575,ACC,2008-04-18 00:00:00,2008,4,Mosby,MO,USA,MINR,DAYL,VMC,5.0,12,0,0,1,0,39.343055,-94.316108,2,VMC,avall
20080501X00577,ACC,2008-04-28 00:00:00,2008,4,Miami,OK,USA,FATL,,VMC,10.0,11,1,0,0,0,36.905555,-94.885833,4,VMC,avall
20080511X00648,ACC,2008-04-23 00:00:00,2008,4,Parma,,IT,FATL,,VMC,10.0,11,3,0,0,0,44.804443,10.3325,4,VMC,avall
20080505X00592,ACC,2008-04-28 00:00:00,2008,4,Bartlett,TX,USA,FATL,DAYL,VMC,10.0,7,1,0,1,0,30.790414,-97.419136,4,VMC,avall
20080430X00572,ACC,2008-04-26 00:00:00,2008,4,Tetlin,AK,USA,NONE,DAYL,VMC,10.0,,0,0,0,2,63.125,-142.518325,1,VMC,avall
20080515X00682,ACC,2008-04-12 00:00:00,2008,4,Ocala,FL,USA,NONE,DAYL,VMC,10.0,13,0,0,0,2,29.280277,-82.124725,1,VMC,avall
20080514X00664,ACC,2008-04-12 00:00:00,2008,4,Twisp,WA,USA,MINR,DAYL,VMC,30.0,,0,0,1,1,48.200553,-120.083885,2,VMC,avall
20080501X00576,ACC,2008-04-30 00:00:00,2008,4,Houston,TX,USA,MINR,DAYL,VMC,10.0,6,0,0,1,3,29.634445,-95.278892,2,VMC,avall
20080501X00579,ACC,2008-04-26 00:00:00,2008,4,Council,ID,USA,NONE,DAYL,VMC,10.0,,0,0,0,1,44.749721,-116.446945,1,VMC,avall
20080505X00594,ACC,2008-04-30 00:00:00,2008,4,Madrid,,SP,,,,,,0,0,0,0,,,0,UNKNOWN,avall
20080515X00676,ACC,2008-04-30 00:00:00,2008,4,Richmond Hill,GA,USA,SERS,DAYL,VMC,10.0,,0,2,1,0,31.829999,-81.295829,3,VMC,avall
20080508X00637,ACC,2008-05-02 00:00:00,2008,5,Rio Linda,CA,USA,NONE,DAYL,VMC,10.0,8,0,0,0,2,38.516666,-121.5,1,VMC,avall
20080519X00694,ACC,2008-04-23 00:00:00,2008,4,Alexander City,AL,USA,NONE,DAYL,VMC,10.0,6,0,0,0,2,32.914722,-85.962776,1,VMC,avall
20080505X00591,ACC,2008-04-21 00:00:00,2008,4,Kodiak,AK,USA,NONE,DAYL,VMC,10.0,6,0,0,0,3,57.75,-152.493896,1,VMC,avall
20080501X00580,ACC,2008-04-30 00:00:00,2008,4,Port Heiden,AK,USA,NONE,DAYL,VMC,10.0,12,0,0,0,6,56.95,-158.0,1,VMC,avall
20080604X00783,ACC,2008-04-28 00:00:00,2008,4,Maiquetia,,VE,FATL,,,,,3,0,0,0,10.603055,-66.990554,4,UNKNOWN,avall
20080506X00599,ACC,2008-04-20 00:00:00,2008,4,Rifle,CO,USA,NONE,DAYL,VMC,,,0,0,0,2,39.52222,-107.722778,1,VMC,avall
20080610X00821,ACC,2008-04-25 00:00:00,2008,4,Coaldale,NV,USA,NONE,DAYL,VMC,10.0,,0,0,0,3,38.117221,-118.006942,1,VMC,avall
20080610X00822,ACC,2008-04-26 00:00:00,2008,4,Elk Creek,CA,USA,MINR,DAYL,VMC,20.0,5,0,0,2,0,39.570278,-122.604164,2,VMC,avall
20080506X00616,INC,2008-03-03 00:00:00,2008,3,Cusco,,PE,NONE,,,,,0,0,0,54,,,1,UNKNOWN,avall
20080507X00622,ACC,2008-01-13 00:00:00,2008,1,Huesca,,SP,SERS,,,,,0,2,0,4,,,3,UNKNOWN,avall
20080508X00635,ACC,2008-05-03 00:00:00,2008,5,McCall,ID,USA,FATL,DAYL,VMC,10.0,3,3,1,2,0,44.88861,-116.101669,4,VMC,avall
20080506X00608,ACC,2008-05-03 00:00:00,2008,5,Minden,NV,USA,NONE,DAYL,VMC,10.0,7,0,0,0,2,39.00111,-119.751945,1,VMC,avall
20080512X00655,ACC,2008-05-03 00:00:00,2008,5,Americus,GA,USA,FATL,DAYL,VMC,10.0,6,3,0,0,0,32.108055,-84.189445,4,VMC,avall
