ev_id,aircraft_key,regis_no,far_part,damage,make_raw,model_raw,acft_series,manufacturer,model_family,model_full,acft_category,num_eng,total_seats,cert_max_gr_wt,acft_year,oper_name,oper_sched,oper_pax_cargo,type_fly,afm_hrs,second_pilot,damage_score,source_era
20090211X65410,1,N5246D,135,SUBS,CESSNA,172N,,CESSNA,172,CESSNA 172,AIR,1,4,2300,,JP Air,NSCH,PAX,,7614.0,N,3,avall
20090213X13613,1,N200WQ,121,DEST,BOMBARDIER INC,DHC-8-402,,BOMBARDIER,DHC-8,BOMBARDIER DHC-8,AIR,2,74,,,COLGAN AIR INC,SCHD,PAX,,1819.0,Y,4,avall
20090214X61509,1,N440RA,135,SUBS,CONSTRUCCIONES AERONAUTICAS SA,C-212-CC,,CONSTRUCCIONES AERONAUTICAS SA,212,CONSTRUCCIONES AERONAUTICAS SA 212,AIR,2,28,,,ARCTIC TRANSPORTATION SERVICES INC,NSCH,CARG,,29161.0,Y,3,avall
20090220X30535,1,N676NW,121,,BOEING,747,400,BOEING,747,BOEING 747,AIR,,,,,,SCHD,PAX,,,Y,0,avall
20090220X43946,1,N41185,135,SUBS,PIPER,PA-31-350,,PIPER,PA-31,PIPER PA-31,AIR,2,7,7368,,Frontier Flying Service,SCHD,PAX,,10928.0,N,3,avall
20090223X03403,1,N270YV,121,MINR,EMBRAER,EMB-120ER,,EMBRAER,EMB-120,EMBRAER EMB-120,AIR,2,30,26433,,SKYWEST AIRLINES INC,SCHD,PAX,,35851.0,Y,2,avall
20090225X83224,1,,121,,,,,UNKNOWN,UNKNOWN,UNKNOWN UNKNOWN,,,,,,AIRTRAN AIRWAYS INC,SCHD,PAX,,,Y,0,avall
20090225X40933,1,N465NW,135,SUBS,GATES LEARJET CORP.,35A,,GATES LEARJET CORP.,35A,GATES LEARJET CORP. 35A,AIR,2,3,15300,,BANKAIR INC,NSCH,CARG,,18648.0,Y,3,avall
20090303X74824,1,N830AS,121,SUBS,BOMBARDIER,CRJ,200,BOMBARDIER,CRJ,BOMBARDIER CRJ,AIR,2,,,,"Atlantic Southeast Airlines, Inc.",SCHD,PAX,,26384.0,Y,3,avall
20090304X61906,1,N197AE,135,MINR,EUROCOPTER,AS 350 B2,,EUROCOPTER,350,EUROCOPTER 350,HELI,1,7,4961,,Papillon Airways,NSCH,PAX,UNK,4602.0,N,2,avall
20090308X11919,1,N501EF,135,SUBS,MD HELICOPTER,369D,,MD HELICOPTER,369D,MD HELICOPTER 369D,HELI,1,4,3000,,"Airwest Helicopters, Inc.",NSCH,PAX,,6897.0,N,3,avall
20090309X74949,1,N911UF,135,MINR,AGUSTA,A109E,,AGUSTA,A109E,AGUSTA A109E,HELI,2,,6600,,AIR METHODS CORP,NSCH,PAX,,2670.0,N,2,avall
20001211X15972,1,N1686U,135,DEST,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,4,3800,,HARBOR AIR SERVICE,NSCH,PACA,UNK,11291.0,N,4,pre2008
